Fra:74 Mem:1219.85M (Peak 1568.91M) | Time:00:00.56 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | rangerover0
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.94 | Mem:395.44M, Peak:395.44M | Scene, RenderLayer | Updating Lookup Tables
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.94 | Mem:395.69M, Peak:395.69M | Scene, RenderLayer | Updating Lights
Fra:74 Mem:1082.95M (Peak 1961.96M) | Time:00:01.94 | Mem:395.69M, Peak:395.69M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:74 Mem:1086.71M (Peak 1961.96M) | Time:00:01.97 | Mem:399.44M, Peak:399.44M | Scene, RenderLayer | Updating Integrator
Fra:74 Mem:1087.21M (Peak 1961.96M) | Time:00:01.97 | Mem:399.94M, Peak:399.94M | Scene, RenderLayer | Updating Film
Fra:74 Mem:1087.21M (Peak 1961.96M) | Time:00:01.97 | Mem:399.69M, Peak:399.94M | Scene, RenderLayer | Updating Lookup Tables
Fra:74 Mem:1087.21M (Peak 1961.96M) | Time:00:01.97 | Mem:399.95M, Peak:399.95M | Scene, RenderLayer | Updating Baking
Fra:74 Mem:1087.21M (Peak 1961.96M) | Time:00:01.97 | Mem:399.95M, Peak:399.95M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:74 Mem:1087.22M (Peak 1961.96M) | Time:00:01.97 | Mem:399.95M, Peak:399.95M | Scene, RenderLayer | Sample 0/128
Fra:74 Mem:1096.13M (Peak 1961.96M) | Time:00:02.01 | Remaining:00:05.34 | Mem:408.86M, Peak:408.86M | Scene, RenderLayer | Sample 1/128
Fra:74 Mem:1105.01M (Peak 1961.96M) | Time:00:08.48 | Mem:408.86M, Peak:408.86M | Scene, RenderLayer | Sample 128/128
Fra:74 Mem:1105.01M (Peak 1961.96M) | Time:00:08.48 | Mem:408.86M, Peak:408.86M | Scene, RenderLayer | Finished
hed
, RenderLayer | Sample 0/128
Fra:74 Mem:1096.13M (Peak 1949.04M) | Time:00:02.85 | Remaining:00:04.31 | Mem:408.86M, Peak:408.86M | Scene, RenderLayer | Sample 1/128
Fra:74 Mem:1105.01M (Peak 1949.04M) | Time:00:07.57 | Mem:408.86M, Peak:408.86M | Scene, RenderLayer | Sample 128/128
Fra:74 Mem:1105.01M (Peak 1949.04M) | Time:00:07.57 | Mem:408.86M, Peak:408.86M | Scene, RenderLayer | Finished
m:1087.22M (Peak 1977.68M) | Time:00:02.20 | Mem:395.95M, Peak:395.95M | Scene, RenderLayer | Sample 0/128
Fra:74 Mem:1096.13M (Peak 1977.68M) | Time:00:02.25 | Remaining:00:06.82 | Mem:404.86M, Peak:404.86M | Scene, RenderLayer | Sample 1/128
Fra:74 Mem:1105.01M (Peak 1977.68M) | Time:00:08.75 | Mem:404.86M, Peak:404.86M | Scene, RenderLayer | Sample 128/128
Fra:74 Mem:1105.01M (Peak 1977.68M) | Time:00:08.75 | Mem:404.86M, Peak:404.86M | Scene, RenderLayer | Finished
 Sample 128/128
Fra:74 Mem:1105.01M (Peak 1962.08M) | Time:00:06.23 | Mem:406.86M, Peak:406.86M | Scene, RenderLayer | Finished
 128/128
Fra:74 Mem:1105.01M (Peak 1966.91M) | Time:00:07.38 | Mem:404.86M, Peak:404.86M | Scene, RenderLayer | Finished
 | Sample 128/128
Fra:74 Mem:1105.01M (Peak 1833.93M) | Time:00:09.11 | Mem:390.86M, Peak:390.86M | Scene, RenderLayer | Finished
, Peak:388.86M | Scene, RenderLayer | Sample 128/128
Fra:74 Mem:1105.01M (Peak 1963.66M) | Time:00:07.21 | Mem:388.86M, Peak:388.86M | Scene, RenderLayer | Finished
me:00:10.22 | Mem:404.86M, Peak:404.86M | Scene, RenderLayer | Finished
